Material;DataHora;Estoque;Custo_Unitario;Custo_Total
Seringas;2024-05-17 15:00:00;66;0,45;29,7
Máscaras N95;2024-05-27 09:00:00;320;5,15;1648
Algodão;2024-03-24 09:00:00;366;0,25;91,5
Seringas;2024-04-16 06:00:00;565;0,44;248,6
Luvas Cirúrgicas;2024-08-22 18:00:00;171;0,89;152,19
Luvas Cirúrgicas;2024-11-06 06:00:00;165;0,87;143,55
Álcool 70%;2024-12-26 21:00:00;183;1,97;360,51
Soro Fisiológico;2024-11-13 00:00:00;331;2,97;983,07
Algodão;2024-07-30 00:00:00;216;0,25;54
Álcool 70%;2024-01-02 12:00:00;126;1,97;248,22
Algodão;2024-10-24 15:00:00;543;0,25;135,75
Máscaras N95;2024-06-16 09:00:00;300;4,39;1317
Algodão;2024-02-19 03:00:00;562;0,25;140,5
Gaze Estéril;2024-08-14 06:00:00;298;0,4;119,2
Luvas Cirúrgicas;2024-11-05 03:00:00;312;0,75;234
Álcool 70%;2024-12-28 00:00:00;575;2,01;1155,75
Soro Fisiológico;2024-02-28 18:00:00;380;2,97;1128,6
Adrenalina;2024-05-28 06:00:00;507;5,05;2560,35
Luvas Cirúrgicas;2024-05-14 03:00:00;782;0,78;609,96
Luvas Cirúrgicas;2024-07-17 18:00:00;201;0,79;158,79
Gaze Estéril;2024-05-03 09:00:00;310;0,39;120,9
Máscaras N95;2024-07-26 09:00:00;277;4,22;1168,94
Dipirona;2024-01-23 12:00:00;476;1,3;618,8
Algodão;2024-10-22 21:00:00;512;0,25;128
Adrenalina;2024-02-17 21:00:00;214;4,98;1065,72
Dipirona;2024-10-02 21:00:00;485;1,3;630,5
Paracetamol;2024-06-16 09:00:00;510;1,49;759,9
Seringas;2024-01-06 06:00:00;112;0,57;63,84
Adrenalina;2024-11-10 21:00:00;344;4,99;1716,56
Algodão;2024-01-01 09:00:00;74;0,25;18,5
Seringas;2024-07-17 00:00:00;66;0,45;29,7
Máscaras N95;2024-08-06 18:00:00;309;4,86;1501,74
Seringas;2024-03-07 21:00:00;105;0,43;45,15
Máscaras N95;2024-10-30 00:00:00;312;4,34;1354,08
Soro Fisiológico;2024-05-17 00:00:00;197;2,97;585,09
Adrenalina;2024-12-05 21:00:00;548;5,1;2794,8
Álcool 70%;2024-08-23 03:00:00;233;1,96;456,68
Algodão;2024-06-05 15:00:00;73;0,25;18,25
Paracetamol;2024-05-19 18:00:00;482;1,51;727,82
Paracetamol;2024-04-02 06:00:00;549;1,53;839,97
Adrenalina;2024-10-06 18:00:00;290;4,92;1426,8
Gaze Estéril;2024-08-26 12:00:00;308;0,41;126,28
Paracetamol;2024-03-19 00:00:00;480;1,52;729,6
Dipirona;2024-08-04 09:00:00;550;1,31;720,5
Máscaras N95;2024-10-13 03:00:00;308;3,92;1207,36
Luvas Cirúrgicas;2024-06-16 15:00:00;740;0,74;547,6
Gaze Estéril;2024-04-14 09:00:00;309;0,39;120,51
Luvas Cirúrgicas;2024-06-11 06:00:00;161;0,82;132,02
Paracetamol;2024-02-23 12:00:00;467;1,53;714,51
Soro Fisiológico;2024-03-31 09:00:00;365;2,97;1084,05
Álcool 70%;2024-05-10 12:00:00;195;1,96;382,2
Gaze Estéril;2024-05-09 12:00:00;299;0,41;122,59
Dipirona;2024-01-12 21:00:00;544;1,31;712,64
Dipirona;2024-09-30 06:00:00;498;1,29;642,42
Seringas;2024-02-13 15:00:00;905;0,47;425,35
Algodão;2024-09-20 06:00:00;278;0,25;69,5
Seringas;2024-02-15 00:00:00;317;0,43;136,31
Adrenalina;2024-08-03 00:00:00;339;4,92;1667,88
Luvas Cirúrgicas;2024-03-29 21:00:00;351;0,72;252,72
Adrenalina;2024-03-25 09:00:00;311;5,01;1558,11
Soro Fisiológico;2024-01-28 00:00:00;104;2,94;305,76
Algodão;2024-12-28 03:00:00;359;0,25;89,75
Adrenalina;2024-02-13 18:00:00;189;5,02;948,78
Algodão;2024-06-19 15:00:00;499;0,25;124,75
Máscaras N95;2024-02-17 00:00:00;319;4,75;1515,25
Algodão;2024-12-05 06:00:00;443;0,25;110,75
Dipirona;2024-08-08 00:00:00;453;1,32;597,96
Seringas;2024-09-24 06:00:00;174;0,46;80,04
Álcool 70%;2024-12-29 06:00:00;360;1,98;712,8
Algodão;2024-07-31 21:00:00;480;0,25;120
Algodão;2024-12-03 21:00:00;522;0,25;130,5
Adrenalina;2024-07-31 09:00:00;426;5,09;2168,34
Máscaras N95;2024-06-28 00:00:00;307;4,72;1449,04
Adrenalina;2024-03-08 09:00:00;355;4,94;1753,7
Soro Fisiológico;2024-12-25 15:00:00;365;2,98;1087,7
Luvas Cirúrgicas;2024-12-03 06:00:00;169;0,75;126,75
Máscaras N95;2024-08-31 21:00:00;299;4,39;1312,61
Seringas;2024-05-19 12:00:00;559;0,53;296,27
Gaze Estéril;2024-02-24 00:00:00;312;0,41;127,92
Seringas;2024-05-28 12:00:00;144;0,45;64,8
Gaze Estéril;2024-02-27 18:00:00;313;0,4;125,2
Seringas;2024-08-11 00:00:00;159;0,55;87,45
